year,text
1904,"In the fifth stage, nails on the road again causing punctures. As mechanical assistance was not allowed, Cornet had to ride the last 40 km on two flat tires. Aucouturier won this stage, his third one, but was way behind in the general classification, which Garin lead, with only 28 seconds margin to Pothier."
1904,"In the sixth stage, Aucouturier, Garin and Dortignac escaped in the last kilometres. Aucouturier signed first at the control post in Ville-d'Avray. From that point, the race was neutralised until the velodrome Parc-des-Princes, where the riders would ride the final kilometre. At the moment that the riders arrived in Paris, it started to rain. The organisers decided together with the cyclists to exclude the final kilometre from the race, and make the control post in Ville-d'Avray the end of the race. This made Aucouturier the winner of the stage. Maurice Garin finished second, which made him the overall winner."
1904,"Initially, Maurice Garin was the winner, having led the race from start to end. Hippolyte Aucouturier won four stages. In total, 27 cyclists finished.For each cyclist, the times they had needed in each stage was added up for the general classification. The cyclist with the least accumulated time after the last stage was the winner."
1904,"During the race, nine riders were excluded because of, among other actions, illegal use of cars or trains. The Tour organizers were happy with the result, but the Union Vélocipédique Française (UVF) started an investigation after complaints from other cyclists. Their investigative committee heard testimony from dozens of competitors and witnesses, and, in December 1904, disqualified all the stage winners and the first four finishers (Maurice Garin, Pothier, César Garin, and Aucouturier). Ten of those disqualified were banned for one year, Maurice Garin for two years and the remaining two for life. In total, 29 riders were punished.The reasons for the disqualification were never made public."
1904,"Fifth-placed Henri Cornet, aged 19, then became the youngest ever winner of the Tour. Cornet had also been warned after he had received a lift by a car. Only 15 cyclists from the original 27 that finished were not disqualified."
1904,"Following the disqualifications, the Tour de France came nearest in history to being permanently cancelled. The race organiser Henri Desgrange, said he would never run the race again because it had been overtaken by the ""blind emotions"" of those who attacked or helped riders as they passed. Desgrange was also upset that the UVF had imposed judgement on his race when he had already disciplined riders as he saw fit."
1904,An angry exchange ensued between Desgrange and the UVF but the letters and the detailed complaints that led to the UVF's actions were lost when the Tour de France archives were transported south in 1940 to avoid the German invasion and were never seen again.
1904,"Until the end of his life, Garin always said that he was the rightful winner of the 1904 Tour de France, but according to Les Woodland, Garin confessed to a friend that he had cheated."
1904,"After the disqualifications, the first four cyclists of the initial classification were disqualified. In the new classification, only 15 cyclists had finished:"
1904,"Because of the scandals associated with this Tour, Desgrange wanted to stop the race. He however changed his mind, and the rules were changed to prevent cyclists from cheating: the 1905 Tour de France would be decided with a points system. Tour de France 1904 winner Cornet would enter the Tour de France for seven more times, but would never again play an important role."
1904, Media related to 1904 Tour de France at Wikimedia Commons
1904,
1905,"The 1905 Tour de France was the third edition of the Tour de France, held from 9 to 30 July, organized by the newspaper L'Auto. Following the disqualifications after the 1904 Tour de France, there were changes in the rules, the most important one being the general classification not made by time but by points. The race saw the introduction of mountains in the Tour de France, and René Pottier excelled in the first mountain, although he could not finish the race.Due in part to some of the rule changes, the 1905 Tour de France had less cheating and sabotage than in previous years, though they were not completely eliminated. It was won by Louis Trousselier, who also won four of the eleven stages."
1905,"After the 1904 Tour de France, some cyclists were disqualified, most notably the top four cyclists of the original overall classification, Maurice Garin, Lucien Pothier, César Garin and Hippolyte Aucouturier. Maurice Garin was originally banned for two years and Pothier for life, so they were ineligible to start the 1905 Tour de France. Of these four, only Aucouturier (who had been ""warned"" and had a ""reprimand inflicted"" on him), started the 1905 Tour. They were disqualified by the Union Vélocipédique Française, based on accusations of cheating when there were no race officials around. In 1904 Tour, it was difficult to observe the cyclists continuously, as significant portions of the race were run overnight, and the long stages made it difficult to have officials everywhere."
1905,"Because these disqualifications had almost put an end to the Tour de France, the 1905 event had been changed in important ways, to make the race easier to supervise:"
1905,"The first cyclist to cross the finish line received 1 point. Other cyclists received one point more than the cyclist who passed the line directly before him, plus an additional point for every five minutes between them, with a maximum of ten points. In this way, a cyclist could not get more than 11 points more than the cyclist that crossed the finish line just before him."
1905,"As an example for this point system, the result for the first seven cyclists in the first stage is in this table:"
1905,"The other important introduction were the mountains. One of Desgrange's staffers, Alphonse Steinès, took Desgrange for a trip over the Col Bayard at 1,246 metres (4,088 ft) and the Ballon d'Alsace at 1,178 metres (3,865 ft), that had an average gradient of 5.2% with 10% at some places, to convince Desgrange to use these climbs in the route. Desgrange accepted it, saying that Steinès would take the blame if the mountains would be too hard to climb. In the two previous editions, the highest point was the Col de la République at 1,145 metres (3,757 ft). In 1905, Desgrange chose to overlook this, and focused instead on the introduction of the Ballon d'Alsace, because he saw that he had missed the opportunity for publicity previously."
1905,"There were two categories of riders, the coureurs de vitesse and the coureurs sur machines poinçonnées. The riders in the first category were allowed to change bicycles, which could be an advantage in the mountains, where they could use a bicycle with lower gears. The riders in the machines poinçonnées category had to use the same bicycle in the entire race, and to verify this, their bicycles were marked."
1905,"Before the race started, 78 riders had signed up for the race. Eighteen of those did not start the race, so the Tour began with 60 riders, including former winner Henri Cornet and future winners René Pottier and Lucien Petit-Breton. The riders were not grouped in teams, but most of them rode with an individual sponsor. Two of the cyclists—Catteau and Lootens—were Belgian, all other cyclists were French. Leading up to the start of the Tour, Wattelier, Trousselier, Pottier and Augereau were all considered the most likely contenders to win the event."
1905,"Despite the rule changes, there were still protesters among the spectators; in the first stage all riders except Jean-Baptiste Dortignacq punctured due to 125 kg of nails spread along the road. The first stage was won by Louis Trousselier. Trousselier was serving the army, and had requested his commander leave for the Tour de France; this was allowed for 24 hours. After he won the first stage and led the classification, his leave was extended until the end of the Tour. From 60 starting cyclists, only 15 cyclists reached the finish line within the time limit; 15 more reached the finish after the limit and the rest took the train.The Tour organizer Desgrange wanted to stop the race, but was persuaded by the cyclists not to do so, and allowed all cyclists to continue with 75 points."
1905,"In the second stage, the first major climb, the Ballon d'Alsace, made its debut. Four riders were the fastest climbers: Trousselier, René Pottier, Cornet and Aucouturier. Of those four, Trousselier and Aucouturier were the first to be dropped, and Cornet had to drop in the final kilometers. The top was therefore reached first by René Pottier, without dismounting, at an average speed of 20 km/h. Cornet, who reached the top second, had to wait 20 minutes for his bicycle with higher gear, because his support car had broken down.Later Aucouturier caught Pottier, and dropped him, and won the stage. Pottier became second in the stage and led the classification. Seven cyclists did not reach the finish in time, but they were again allowed to start the next stage."
1905,"In the third stage, Pottier had to abandon due to tendinitis. The lead was back with Trousselier, who also won the stage."
1905,"In the fourth stage, the Côte de Laffrey and the Col Bayard were climbed, the second and third mountains of the Tour de France.Julien Maitron reached both tops first, but Aucouturier won the stage. Trousselier finished in second place, still leading the overall classification, although with the same number of points as Aucouturier."
1905,"In the fifth stage, Trousselier won, and because Aucouturier finished in twelfth place, Trousselier had a big lead in the general classification. After the fifth stage, Aucouturier could no longer challenge Trousselier for the lead."
1905,"In the seventh stage to Bordeaux, Trousselier punctured after only a few kilometers. The rest of the cyclists quickly sped away from him, and Trousselier had to follow them alone for 200 km. A few kilometers before Bordeaux, Trousselier caught up with the rest, and even managed to win the sprint. Louis Trousselier kept his lead until the end of the race, winning five stages. Trousselier was accused of bad sportsmanship: he reportedly smashed the inkstands of a control post to prevent his opponents from signing. Unlike the 1904 Tour de France, no stage winners, nor anyone from the top ten of the general classification, were disqualified."
1905,"In the first and last stage, the cyclists were allowed to use pacers. All the 11 stages were won by only three cyclists:"
1905,"The cyclists officially were not grouped in teams; some cyclists had the same sponsor, even though they were not allowed to work together."
1905,"Pautrat was the winner of the coureurs sur machines poinçonnées category, having used the same bicycle through the whole event."
1905,The organising newspaper L'Auto named René Pottier the meilleur grimpeur. This unofficial title is the precursor to the mountains classification.
1905,"The tour organizers liked the effect of the points system, and it remained active until the 1912 Tour de France, after which it was reverted to the time system. In 1953, for the 50-years anniversary of the Tour de France, the points system was reintroduced as the points classification, and the winner was given a green jersey. This points classification has been active ever since."
1905,"The introduction of mountains in the Tour de France had also been successful. After the introduction of the Vosges in the 1905 Tour de France, in 1906 the Massif Central were climbed, followed by the Pyrenees in 1910 and the Alps in 1911."
1905,"The winner Trousselier received 6950 Francs for his victory. The night after he won, he drank and gambled with friends, and lost all the money. In later years, Trousselier would not win a Tour de France again, but he still won eight more stages and finished on the podium in the next year.The unofficial mountain champion of the 1905 Tour de France, Pottier, would be more successful in the next year, when he won the overall classification and five stages."
1905,"For L'Auto, the newspaper that organized the Tour de France, the race was a success; the circulation had increased to 100,000."
1905, Media related to 1905 Tour de France at Wikimedia Commons
1905,
1905,
1906,"The 1906 Tour de France was the fourth of the edition Tour de France, and second to use the point system. Taking place from 4 to 29 July the total race distance was 4,637 kilometres (2,881 mi) run over 13 stages, with the winner averaging 24.463 kilometres per hour (15.201 mph). New in this year were the mountain climbs in the Massif Central. Like its predecessors, it still had cheating and sabotage taking place. Four competitors were disqualified for taking trains as a shortcut and spectators threw nails in the road. However, this did not stop René Pottier from taking a big lead in the first stages. Free of tendinitis that plagued his 1905 chances, he dominated the entire race."
1906,"Tour organiser Henri Desgrange had been happy with the increased length of the 1905 Tour de France, and decided to put even more stages in the 1906 version.The introduction of mountain stages had also been successful, so this year not only the Vosges were included, but also the Massif Central."
1906,"The increased length made it possible to follow the borders of France, and in 1906 the perimeter was closely followed."
1906,"The points system in the 1905 Tour de France had been successful enough in reducing cheating, so the Tour organisers used it again in the 1906 Tour de France, with a few changes: whereas in 1905, time differences still had some effect on the points distribution, in 1906 time differences were unimportant, and points were only given for the order in which the cyclists finished. The winner of the stage received one point, the second rider two points, et cetera. After the eighth stage, only 16 cyclists were remaining, and the results from the first eight stages were recalculated, with only the remaining cyclists, and the points were redistributed among the remaining riders in accordance with their positions in those stages."
1906,"The first stage ended in Lille and the second stage started in Douai; this was the first time that a stage did not start where the previous stage ended.Also for the first time, the Tour went outside France: in the second stage, Germany (Alsace-Lorraine was then part of Germany) was visited, then several days later Italy (Ventimiglia) and Spain (Irun) too.The 1906 Tour also saw the introduction of the flamme rouge (red flame), a red flag that indicates that the cyclists only have one kilometre to go."
1906,"There were 100 cyclists signed up for the race, but only 76 of them came to the start. One of the absentees was Henri Cornet, winner of the 1904 Tour de France. Four cyclists were Belgian, one was Luxembourgian (later winner François Faber), two were German, and the rest were French.Louis Trousselier, winner of the 1905 Tour de France, was present. The riders were not grouped in teams, but some cyclists had the same sponsor, even though they were not allowed to work together. Before the race started, most was expected from Cadolle, Aucouturier, Georget, Pottier, Trousselier, Dortignac and Petit-Breton."
1906,"As in 1905, the cyclists were divided in two categories, the coureurs de vitesse and the coureurs sur machines poinçonnées, where the riders in the first category were allowed to change bicycles, which could be an advantage in the mountains, where they could use a bicycle with lower gears. In 1905, sponsors had not been so enthusiastic about entering their cyclists in this category, but in 1906 they had learned that it had a commercial advantage to have cyclists starting in the poinçonnées category, because the average French citizen could identify more with them. In 1906, more than half of the cyclists started in the poinçonnées category, including Lucien Petit-Breton, one of the pre-favourites."
1906,"As in previous years, the spectators tried to assist their preferred riders by trying to impede their opponents. On the first stage, nails had been thrown on the road, and all cyclists except Lucien Petit-Breton punctured. This stage was won by Emile Georget in a sprint.In the second stage, René Pottier, who had shown his climbing abilities in the previous edition, aimed for the victory. He was stopped after 175 kilometres (109 mi) with mechanical failure, and he lost 58 minutes. The other main contenders worked together to stay away from Pottier, but Pottier chased them for 200 kilometres (120 mi), caught them 25 kilometres (16 mi) before the finish, and even left them behind, winning the stage with a margin of 1'30"" on Petit-Breton and more than 9 minutes on the rest.In the third stage, four cyclists (Julien Gabory, Henri Gauban, Gaston Tuvache and Maurice Carrere) were disqualified for taking the train. The Ballon d'Alsace, which had been the first real mountain in the Tour de France the previous year, was featured again. Just as the year before, it was mounted first by Pottier. The stage was also won by Pottier, more than 45 minutes ahead of the rest."
1906,"Pottier also won the fourth stage. In the fifth stage, he was leading by one hour at the halfway point. A cycling legend says that he decided to stop, entered a bar and ordered a bottle of wine, and drank it almost completely. When he saw the first other cyclists passing by, Pottier mounted his bicycle again, went after them, and won the stage. By this point, Pottier was leading the overall classification firmly. The winner of the 1905 Tour de France, Louis Trousselier, had had a bad first half of the Tour, and was many points behind. Trousselier rediscovered his form in the second half of the race, won the 7th, 9th, 10th and 11th stages, and was challenging the second place of Georges Passerieu. Passerieu defended his position by winning the 12th stage. In the last stage, Pottier showed his strength by winning the stage, after finishing together in Paris with Passerieu."
1906,"After the 13th stage, the race was followed by two timed exhibition laps on the Velodrome in Paris, the result of which was not counted for the overall classification. The winner was Emile Georget, who finished the 1,332 metres (4,370 ft) in 2:07.20."
1906,"One hundred cyclists had entered for the 1906 Tour de France; only 82 of them showed up at the start. Only 49 cyclists finished the first stage, and the number of active cyclists quickly fell to 37 in stage two, 29 in stage three, until 16 after stage eight. At that point, the points given in the first eight stages were redistributed among the remaining riders in accordance with their positions in those stages. At the end of the Tour de France, only 14 cyclists finished. The cyclists were not grouped in teams; some cyclists had the same sponsor, but they were not allowed to work together."
1906,"Lucien Petit-Breton was the winner of the ""machines poinçonnées"" category."
1906,The organising newspaper l'Auto named René Pottier the meilleur grimpeur. This unofficial title is the precursor to the mountains classification.
1906,"The Tour organisers did not make many changes the rules or route for the next race, because they had worked in the 1906 Tour de France. The revised points system would be kept in this form until 1911, only to be changed a little bit in 1912 before being replaced by the time system in 1913. The flamme rouge that was introduced in 1906 to indicate the final kilometre of a stage was kept and is still in use."
1906,"René Pottier would not defend his title in the 1907 Tour de France, because he would commit suicide before, after discovering that his wife had had an affair while he was riding the Tour. Petit-Breton and Georget would start again in the 1907 Tour and duel for the overall victory, which would be won by Petit-Breton."
1906,"To honor Pottier's achievements on the Ballon d'Alsace, a monument was placed for him on top of that mountain."
1906, Media related to 1906 Tour de France at Wikimedia Commons
1906,
1906,
1907,
1907,"The 1907 Tour de France was the fifth running of the annual Tour de France, one of cycling's Grand Tours. From 8 July to 4 August, the 93 cyclists cycled 4488 km (2,788 mi) in fourteen stages around France. The winner, Lucien Petit-Breton, completed the race at an average speed of 28.47 km/h (17.69 mi/h). For the first time, climbs in the Western Alps were included in the Tour de France. The race was dominated at the start by Émile Georget, who won five of the first eight stages. In the ninth stage, he borrowed a bicycle from a befriended rider after his own broke. This was against the rules; initially he received only a small penalty and his main competitors left the race out of protest. Georget's penalty was then increased and Lucien Petit-Breton became the new leader. Petit-Breton won two of the remaining stages and the overall victory of the Tour."
1907,"The 1907 Tour de France incorporated 14 stages, which was one more than in 1906. For the first time, roads in Switzerland were included. The mountain stages in 1906 had been so successful, according to the organiser Henri Desgrange, that the western Alps were included in the race for the first time.The 1907 race was also the first time that a car with bicycle repairmen drove behind the riders, to give assistance in solving mechanical problems on bicycles."
1907,"As in 1906, the race was decided by a points system. At the end of every stage, the winner was given one point, the next cyclist two points, and so on. After the eighth stage, when there were only 49 cyclists left in the race, the points given in the first eight stages were redistributed among the remaining cyclists, according to their positions in those stages."
1907,"René Pottier, the winner of the 1906 Tour de France, did not defend his title because he had committed suicide in early 1907. Although the riders officially rode the Tour as individuals, some shared the same sponsor and cooperated as if they rode in teams. At the start of the race, it was expected that the riders sponsored by Alcyon and the riders sponsored by Peugeot would compete for the overall victory. Alcyon started with three main contenders: Louis Trousselier, Marcel Cadolle and Léon Georget; Peugeot counted on Emile Georget."
1907,"As in the previous years, there were two classes of cyclists, the coureurs de vitesse and the coureurs sur machines poinçonnées. Of the 93 cyclists starting the race, 82 were in the poinçonnée category, which meant that they had to finish the race on the same bicycle as they left, and if it was broken they had to fix it without assistance. The coureurs de vitesse could get help from the car with bicycle repairmen when they had to fix a bicycle, and when a bicycle was beyond repair, they could change it to a new one."
1907,"Not all cyclists were competing for the victory; some only joined as tourists. The most notable of them was Henri Pépin. Pépin had hired two riders, Jean Dargassies and Henri Gauban, to ride with him. They treated the race as a pleasure ride, stopping for lunch when they chose and spending the night in the best hotels they could find. Dargassies and Gaubin became the first cyclists in the history of the Tour de France to ride not for their own placings but for another rider's interest. During the race, they found another Tour de France competitor, Jean-Marie Teychenne, lying in a ditch. They helped him get up and fed him; from then on Teychenne also helped Pépin."
1907,"Early in the race, Trousselier, François Faber and Emile Georget were the main contenders. Trousselier, winner of the 1905 Tour de France and eager to win again, won the first stage. In the second stage, the Tour passed the French-German border to finish in Metz, which was then part of Germany. The German authorities allowed the cyclists to finish there, but did not allow the French flag to be flown or the cars of race officials to enter the city. At the end of the stage, Emile Georget seemingly beat Trousselier with a very small margin. After inquiry, Desgrange, the Tour's organiser, decided to put both cyclists in first place, to keep both sponsors satisfied."
1907,"In the third stage, the Tour returned to France; at the border, the riders were stopped by two French customs officers and the delay took so long that the stage had to be restarted. During the stage in the Alps, Émile Georget was better than his competitors; he won the stage and became leader of the general classification. Georget won five of the first eight stages, and had a commanding lead. In the seventh stage, Marcel Cadolle, at that time in second place, fell and his handlebar penetrated his knee, after which he had to give up."
